H,NEL,NI,TA
0.000000,7.68000e+013,6.00000e+013,6520.00
50.0000,1.97000e+013,7.49000e+012,5790.00
100.000,9.89000e+012,1.40000e+012,5410.00
150.000,6.04000e+012,3.22000e+011,5150.00
200.000,3.93000e+012,1.10000e+011,4990.00
250.000,2.60000e+012,4.94000e+010,4880.00
300.000,1.71000e+012,2.38000e+010,4770.00
350.000,1.12000e+012,1.21000e+010,4660.00
400.000,7.24000e+011,6.70000e+009,4560.00
450.000,4.66000e+011,3.73000e+009,4460.00
500.000,3.03143e+011,2.70571e+009,4407.14
550.000,1.95286e+011,2.85571e+009,4421.43
600.000,1.26000e+011,5.46000e+009,4550.00
650.000,9.03000e+010,1.35000e+010,4750.00
700.000,8.34818e+010,3.29545e+010,5004.55
750.000,9.29700e+010,5.91100e+010,5255.00
800.000,1.06610e+011,8.30400e+010,5469.00
850.000,1.22400e+011,1.06640e+011,5634.00
900.000,1.23100e+011,1.10800e+011,5744.50
950.000,1.20000e+011,1.10400e+011,5842.00
1000.00,1.10000e+011,1.10000e+011,5900.00
1050.00,1.02906e+011,1.02906e+011,5978.14
1100.00,9.62691e+010,9.62691e+010,6057.32
1150.00,9.00604e+010,9.00604e+010,6137.55
1200.00,8.42521e+010,8.42521e+010,6218.84
1250.00,7.88184e+010,7.88184e+010,6301.21
1300.00,7.37352e+010,7.37352e+010,6384.67
1350.00,6.89798e+010,6.89798e+010,6469.23
1400.00,6.45311e+010,6.45311e+010,6554.92
1450.00,6.03693e+010,6.03693e+010,6641.74
1500.00,5.64759e+010,5.64759e+010,6729.71
1550.00,5.28336e+010,5.28336e+010,6818.84
1600.00,4.94262e+010,4.94262e+010,6909.15
1650.00,4.62385e+010,4.62385e+010,7000.66
1700.00,4.32565e+010,4.32565e+010,7093.39
1750.00,4.04667e+010,4.04667e+010,7187.34
1800.00,3.78569e+010,3.78569e+010,7282.53
1850.00,3.54154e+010,3.54154e+010,7378.99
1900.00,3.31314e+010,3.31314e+010,7476.72
1950.00,3.09946e+010,3.09946e+010,7575.75
2000.00,2.89957e+010,2.89957e+010,7676.09
2050.00,2.71257e+010,2.71257e+010,7777.76
2100.00,2.53762e+010,2.53762e+010,7880.77
2150.00,2.37397e+010,2.37397e+010,7985.15
2200.00,2.22086e+010,2.22086e+010,8090.91
2250.00,2.07763e+010,2.07763e+010,8198.08
2300.00,1.94364e+010,1.94364e+010,8306.66
2350.00,1.81829e+010,1.81829e+010,8416.68
2400.00,1.70102e+010,1.70102e+010,8528.16
2450.00,1.59132e+010,1.59132e+010,8641.11
2500.00,1.48869e+010,1.48869e+010,8755.56
2550.00,1.39268e+010,1.39268e+010,8871.53
2600.00,1.30286e+010,1.30286e+010,8989.03
2650.00,1.21883e+010,1.21883e+010,9108.09
2700.00,1.14023e+010,1.14023e+010,9228.72
2750.00,1.06669e+010,1.06669e+010,9350.96
2800.00,9.97897e+009,9.97897e+009,9474.81
2850.00,9.33540e+009,9.33540e+009,9600.30
2900.00,8.73333e+009,8.73333e+009,9727.46
2950.00,8.17009e+009,8.17009e+009,9856.29
3000.00,7.64318e+009,7.64318e+009,9986.84
3050.00,7.15025e+009,7.15025e+009,10119.1
3100.00,6.68911e+009,6.68911e+009,10253.1
3150.00,6.25771e+009,6.25771e+009,10388.9
3200.00,5.85413e+009,5.85413e+009,10526.5
3250.00,5.47658e+009,5.47658e+009,10666.0
3300.00,5.12338e+009,5.12338e+009,10807.2
3350.00,4.79295e+009,4.79295e+009,10950.4
3400.00,4.48384e+009,4.48384e+009,11095.4
3450.00,4.19467e+009,4.19467e+009,11242.4
3500.00,3.91713e+009,3.91713e+009,12920.6
3550.00,3.30508e+009,3.30508e+009,89535.7
